"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","RWA.FA28N.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of credit union and credit cooperative branches","Per 1,000 square km","Annual","Units","41.87271990271585","41.0620186461289","40.65666801783543","40.45399270368869","40.53506282934739","40.49452776651804","41.0620186461289","41.87271990271585"
"IMF.STA:FAS(4.0.0)","RWA.FA22_COMBANK.NUM.A","OBS_VALUE","Rwanda","Branches excluding headquarters, Commercial banks","Number","Annual","Units","432","415","394","349","261","256","","414"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_ODT_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Other deposit takers, Assets","Domestic currency","Annual","Millions","186675.528224289","222037.563341073","246953.287865822","284862.397385983","384729","514611","623265","654562"
"IMF.STA:FAS(4.0.0)","RWA.FA29_DTMFI.NUM.A","OBS_VALUE","Rwanda","Depositors, Deposit taking microfinance institutions","Number","Annual","Units","614886","706478","720249","808738","909752","968857","1098419","778693"
"IMF.STA:FAS(4.0.0)","RWA.FA22_DTMFI.NUM.A","OBS_VALUE","Rwanda","Branches excluding headquarters, Deposit taking microfinance institutions","Number","Annual","Units","156","164","203","201","219","202","240","276"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_COMBANK_SMES.POGDP.A","OBS_VALUE","Rwanda","Outstanding loans, Commercial banks, Small and medium enterprises (SMEs)","Percent of GDP","Annual","Units","2.319525912787107","3.479858357587035","3.889729228793307","4.324294691794134","3.347052910536416","3.095174927113703","3.735474557921328","3.651330288415472"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_DTMFI_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Deposit taking microfinance institutions, Assets","Domestic currency","Annual","Millions","43261.24797287","50756.74691628","62396.48999961","68313.29758747","79538","105422.45338634","143012","262226"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_COMBANK.POGDP.A","OBS_VALUE","Rwanda","Outstanding loans, Commercial banks","Percent of GDP","Annual","Units","16.80115405917351","17.71938335816616","17.93989736019865","21.47625158364812","19.80664351640318","18.43411807580175","17.52892457596536","30.59330650398714"
"IMF.STA:FAS(4.0.0)","RWA.FA57N.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of registered mobile money agent outlets","Per 1,000 square km","Annual","Units","3385.934333198216","4372.03080664775","3986.988244831779","5317.105796513985","5041.467369274422","6111.349817592217","6574.746655857317","9125.739764896636"
"IMF.STA:FAS(4.0.0)","RWA.FA57.NUM.A","OBS_VALUE","Rwanda","Registered mobile money agent outlets","Number","Annual","Units","83531","107858","98359","131173","124373","150767","162199","225132"
"IMF.STA:FAS(4.0.0)","RWA.FA76_S128.NUM.A","OBS_VALUE","Rwanda","Non-life insurance policy holders, Insurance corporations","Number","Annual","Units","471212","208800","289469","458893","474918","253632","391074","375225"
"IMF.STA:FAS(4.0.0)","RWA.OUTD_COMBANK_L.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Commercial banks, Liabilities","Domestic currency","Annual","Millions","1429485.54457799","1640443.41001262","1829525.60247291","2234438.30891011","2603752","3284178","3786276","5474953"
"IMF.STA:FAS(4.0.0)","RWA.OUTD_ODT_L.XDC.A","OBS_VALUE","Rwanda","Outstanding deposits, Other deposit takers, Liabilities","Domestic currency","Annual","Millions","42724.768773395","47042.3843918224","43876.913344901","44004.869889","431896","517179","598893","536917"
"IMF.STA:FAS(4.0.0)","RWA.FA22_ODT.NUM.A","OBS_VALUE","Rwanda","Branches excluding headquarters, Other deposit takers","Number","Annual","Units","114","114","113","121","121","77","77","84"
"IMF.STA:FAS(4.0.0)","RWA.CUCC.NUM.A","OBS_VALUE","Rwanda","Credit unions and credit cooperatives","Number","Annual","Units","455","441","439","438","438","438","439","412"
"IMF.STA:FAS(4.0.0)","RWA.FA26N.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of commercial bank branches","Per 1,000 square km","Annual","Units","17.95703283340089","17.26793676530199","16.41670044588569","14.59262261856506","11.02553708958249","10.7823267126064","","17.18686663964329"
"IMF.STA:FAS(4.0.0)","RWA.FA30_DTMFI.NUM.A","OBS_VALUE","Rwanda","Deposit accounts, Deposit taking microfinance institutions","Number","Annual","Units","614886","706478","720249","808738","808738","968857","1098419","1024472"
"IMF.STA:FAS(4.0.0)","RWA.OUTD_CUCC.POGDP.A","OBS_VALUE","Rwanda","Outstanding deposits, Credit unions and credit cooperatives","Percent of GDP","Annual","Units","1.118929764172212","1.161457845739969","1.219323869143532","1.339841003335063","1.345188705108288","1.330241581721567","1.265373511367737","1.409142206181396"
"IMF.STA:FAS(4.0.0)","RWA.FA66.NUM.A","OBS_VALUE","Rwanda","Mobile money transactions (during the reference year)","Number","Annual","Units","251361153","299941137","378847720","701306416","914928988","1521111711","2263051143","2537441831.6945"
